Target,City,N,R2,RMSE,MAE
Population,All,897,0.4588133645705945,2246.8102248756572,1128.4895589089845
Population,chicago,87,-0.07485035458325018,661.5277998066124,436.41136140494507
Population,hongkong,78,0.37768433309571736,5399.925435663212,3628.7716252962755
Population,kigali,84,0.5712028790348267,624.4716377146428,368.34393905003856
Population,kinshasa,102,0.586585856360629,2638.0086089268257,1830.2602266835224
Population,mexico,90,0.4148272334461782,857.5107642938863,676.2502580118179
Population,munich,63,0.3919492240484075,631.8538139106169,412.7035450587198
Population,orlando,129,0.06895948251780593,220.26471604176407,147.97398013107536
Population,saopaulo,93,-0.11694323017706476,1192.3034016006927,920.9690160279631
Population,singapore,87,-2.123054693472808,3656.4199181239455,2627.721782892326
Population,stockholm,84,-0.1413926426182428,977.0336263407135,635.7419229189555
Total built-up surface area,All,897,0.8882317088065612,8.091320626816117,5.8309760419496115
Total built-up surface area,chicago,87,0.7721264861558892,9.701925727972073,7.979716266708812
Total built-up surface area,hongkong,78,0.8813595844084957,7.1605083131169325,5.642163200561817
Total built-up surface area,kigali,84,0.973766553817461,3.0696850873475876,2.5016164542663657
Total built-up surface area,kinshasa,102,0.8741738079645561,11.012930105777226,7.419111937751958
Total built-up surface area,mexico,90,0.8951951299432379,7.079866805751465,5.410345541073216
Total built-up surface area,munich,63,0.9164340460139413,4.690016326970032,3.9134200538907735
Total built-up surface area,orlando,129,0.8078690794659108,6.441233802826066,4.780295208789582
Total built-up surface area,saopaulo,93,0.5739611272666416,7.318495985709679,5.664412000102383
Total built-up surface area,singapore,87,0.6433283759426356,12.385465935226005,9.205695754846278
Total built-up surface area,stockholm,84,0.8649908963201403,6.725199095552666,5.373283026970569
Total built-up volume,All,897,0.5000677042710671,310.0173663469605,199.38454704597643
Total built-up volume,chicago,87,0.09289915614704436,421.9369776505764,290.8901471280504
Total built-up volume,hongkong,78,0.7456156682511248,406.68020674284884,299.9039573186483
Total built-up volume,kigali,84,0.8660563158304433,91.21166371458156,63.22686585244678
Total built-up volume,kinshasa,102,0.7976467896568716,116.72866652587085,84.47045514069349
Total built-up volume,mexico,90,0.17758070832118422,200.59845868689405,139.3158204756843
Total built-up volume,munich,63,0.1032442765983913,168.44277917264418,126.0407467221457
Total built-up volume,orlando,129,0.43617092158480675,122.15258956500755,88.46941679096963
Total built-up volume,saopaulo,93,-1.131790836496053,484.56954101571574,388.80086591166844
Total built-up volume,singapore,87,-0.3666565215804105,528.4803752284665,437.8058553990961
Total built-up volume,stockholm,84,0.7646512448605234,164.18310009193934,120.02152942191987
