GroupBase,OriginalFilename,Singapore____0,Singapore____1,Singapore____2,HongKong____0,HongKong____1,HongKong____2,Munich____0,Munich____1,Munich____2,Stockholm____0,Stockholm____1,Stockholm____2,Chicago____0,Chicago____1,Chicago____2,Orlando____0,Orlando____1,Orlando____2,Kinshasa____0,Kinshasa____1,Kinshasa____2,SaoPaulo____0,SaoPaulo____1,SaoPaulo____2,Mexico____0,Mexico____1,Mexico____2,Kigali____0,Kigali____1,Kigali____2
30_68_r1_d1,30_68_r1_d1_cv.jpgKinshasa._gt.png,0.7034626089535087,0.6527079397810412,0.5902527714172211,0.4682596911785313,0.5067791475545892,0.45810373680730115,4.17353971920081,4.059048553229892,3.7734015745111975,0.7014334993944649,0.6697208111727232,0.7096149875198026,3.1130363644493046,3.3456656560756963,3.222510001324932,0.32513423720636636,0.40011177541968207,0.324376678503515,0.1092567199132368,0.1326035767296455,0.1377176878127135,0.7540392469182406,0.764603824689315,1.0481467300356162,0.3161274730031128,0.3145479961624105,2.0943391776212668,0.20643275370865466,0.18018304892782544,0.18768198097184086
34_98_r1_d1,34_98_r1_d1_cv.jpgSingapore._gt.png,0.24451101539353112,0.3965725526236529,0.2511414786648311,0.42492592422260533,0.5770258504312115,0.43648458528079026,1.7107561743915285,1.0819702935536626,0.7459527247085352,0.6380239136029777,0.40061677462770967,0.49430333968283596,1.5584545700602466,0.9347169303077826,0.40074552001875235,0.29965882707965646,0.21568268549050298,0.13848540149662858,0.08223278550159308,0.13868583792676725,0.08181366659939317,0.5444821980487686,0.5295715461878499,0.4722115105192897,0.9962085990830528,0.8603950827695626,0.9776538523022973,0.07737406353426195,0.06266935872116301,0.0759071912048048
62_45_r0_d0,62_45_r0_d0_cv.jpgOrlando._gt.png,0.2792136903755909,0.3482306537700024,0.27794577552747796,0.2528730611483697,0.2694283912803148,0.3973892680916906,0.4334660487709443,2.3393040018115427,0.6840062838272061,0.3791699361189676,0.2275263685910886,0.23659101810703215,0.3856331303011066,0.38531340544929116,0.6162557432479953,0.19054665806532647,0.24644101881793176,0.1460426145190395,0.10875154412197026,0.10763948713316676,0.08684352315548403,0.5579152240858893,0.624042017657317,0.5539601146476562,0.3106375357902234,0.360807584232276,0.4410475616022395,0.07945781370037548,0.10398482908733604,0.07137030686406615
24_20_r0_d0,24_20_r0_d0_cv.jpgKigali._gt.png,0.3754556787099573,0.40527147287808474,0.4302298992753367,0.8495971542287807,0.49609243140165565,0.4791294522549779,3.375541724108509,2.5725293720466142,2.000692859299612,0.30147256230658787,0.41762076873405385,0.4044328171939414,0.8352884848938266,0.9082633790456457,0.7178281997239464,0.18507081562232178,0.22556603858143354,0.21072005544086642,0.08999696401057009,0.08864006465908573,0.08193371864500204,0.5655281835844362,0.530406150230403,0.5433200753738819,0.9104756663716725,0.7486176529178119,0.70322095791623,0.08249130458647323,0.09013515755215394,0.06829296256394264
7_17_r0_d1,7_17_r0_d1_cv.jpgSaoPaulo._gt.png,,,,0.9476332274534361,0.686468584418486,0.7265965487653885,,,,,,,1.8336271897093974,4.02311937915755,0.3633137600566042,,,,,,,,,,,,,,,
19_43_r0_d0,19_43_r0_d0_cv.jpgSingapore._gt.png,0.45010881684737253,0.5319850450107333,0.2905624884907338,0.5013412930000086,0.46211548403957386,0.71795718214312,0.5769489319635904,1.0861790259262343,0.9041224410634604,0.631545701901916,0.5152228745249304,0.3522570437840441,0.6797318110913184,0.7282179462442727,0.4477061030383557,0.20535970970708878,0.18883461181129588,0.2002897762692928,0.08725190078324521,0.0846762751865183,0.08344105143863749,0.5797386877420285,0.599521455998729,0.5294026392939195,0.35215739915820815,0.6236814108187319,0.5438170416604972,0.08811082655383688,0.07675709922408032,0.06824209715046982
38_86_r1_d1,38_86_r1_d1_cv.jpgKinshasa._gt.png,0.23267516111458736,0.42335225521639225,0.27653028973912297,0.4261258118858314,0.6289935126455203,0.40967438819458585,1.7179438904507551,2.3279014702312124,1.3703500203747827,0.6371778062368976,0.5393077364920682,0.5783444933295796,1.5330546671893681,1.1641784133153852,0.520627034244837,0.3725593903821828,0.2742230828343927,0.141056556854488,0.0815928939278242,0.14596640208332484,0.0859363677620072,0.524206588944715,0.5374591518958368,0.5350485610527176,0.34623418253219823,0.6720294582797187,0.9517377443749283,0.07111363587727441,0.0630345194043507,0.07634921663955083
52_5_r0_d0,52_5_r0_d0_cv.jpgMexico._gt.png,0.6000690660653709,0.6801786069230439,0.5153013645514438,1.0331176657868637,1.4669189118284849,1.46573386007105,2.7747803146492807,5.3704417874153005,4.019758704504813,0.5268842300234974,0.6623146294591133,0.6417463925868652,2.313300737883488,1.5600856187357568,0.3289762791453577,0.33720584417972715,0.3394911950573805,0.19653710416717332,0.10905172714907439,0.10558691287259261,0.09036522818597632,0.7668003283096405,0.8509308681789262,0.8606533103168186,0.7772040936796256,0.6335080771698922,0.42874742962851814,0.22020770157796868,0.2191177914702348,0.2463125250750254
61_52_r0_d1,61_52_r0_d1_cv.jpggt-Mexico.png,1.0137929020575975,0.7096698004840145,0.6152550424633555,0.7997956278998026,0.6940032306935973,0.5762848612204762,4.224337061087252,3.5236995150911388,3.8504003764747177,0.7180219181095526,0.6321901168895784,0.7321484544072154,2.9976874350730793,3.0718561166234433,0.6855007048391817,0.3544747580391158,0.4225260314042498,0.16903621156311055,0.13147610642783003,0.1251758029299442,0.1118191763172656,0.7962863050838714,0.7681459730385177,0.9323971445969365,0.6276200553553536,0.5162849143675848,0.5582581823500459,0.23704407944047215,0.1969416703779798,0.2968823037992697
28_18_r1_d2,28_18_r1_d2_cv.jpgKigali._gt.png,0.636618948079391,0.6025581708831014,0.6125986217575555,0.4794603599293405,0.5213828105176672,0.4300149918067418,4.950955056137871,5.074783068445628,3.2896677336222493,0.7598820232621875,0.5800557884398877,0.8636018813008995,3.301114424787578,3.8688852208764293,1.7579100921314967,0.3335703257067671,0.4631297144245036,0.23538805847296682,0.12945536130943583,0.13089011336542422,0.10796864199091488,0.7134970804611075,0.659939745570875,0.9506875842247028,0.30665055304533234,0.2943847792689285,2.1646998578584244,0.23108759176130753,0.1750879421085001,0.2130000085356369
37_13_r0_d0,37_13_r0_d0_cv.jpgKinshasa._gt.png,0.5881878843704144,0.5177704165976392,0.5592721403214564,0.4360617022934493,0.3613071521778911,0.4183013145675868,4.485832652500714,4.584279480004101,3.2542752362140455,0.7932192888274221,0.6362571400134693,0.7203514242375677,6.0316959141201805,3.5310696798103165,3.0694299782430754,0.2540398721805086,0.4088517903701322,0.35500703299840825,0.11333591710649511,0.1422805469558141,0.14175371832607267,0.650892946504413,0.640506238371614,0.7566762809648789,0.27971603561610753,0.28913106055008664,1.5525890612362636,0.17892294631482308,0.1283054024776402,0.1371761844114735
19_45_r2_d2,19_45_r2_d2_cv.jpgKigali._gt.png,0.5657594294742958,0.6464883136785211,0.5271323874849695,0.48464439311794194,0.821698225386579,0.5196536521568851,2.4027445699783274,4.1869092634750995,2.331724658964202,0.748301219061097,0.6481101034364983,0.30033660298310316,2.79047378538223,2.6794894253485255,1.487190399091516,0.179284033971423,0.27376731823378575,0.13959407417932015,0.08512742173272568,0.08968120583433915,0.09509479591524996,0.6121874917349124,0.5444364598786852,0.5730234953884937,0.309944122942803,0.3239738945175377,0.6065053179954703,0.06820854335930471,0.07361044119392227,0.07246759318906788
10_62_r0_d1,10_62_r0_d1_cv.jpgSingapore._gt.png,0.6629980242613382,0.6009376794202254,0.43401951267027106,0.5351864203324694,0.6278314809597905,0.4853938638664786,3.3913734792346366,2.4182341323818544,1.1451088914753345,0.40825175337534164,0.36788109650753176,0.26813517941079223,0.5255790210612359,0.7335398144128994,0.5777247787989072,0.24178183620890195,0.34778900637792687,0.23615940064301685,0.2008789721033063,0.16709444375542262,0.14481858420341814,0.5790904348306504,0.5663274954745502,0.5710119520267289,0.8139792413430987,0.6106886180320871,0.5183690113971279,0.11760858850304248,0.13449229740635382,0.09020937511365627
35_86_r0_d1,35_86_r0_d1_cv.jpgMexico._gt.png,0.7830463564012243,0.6829197677416341,0.4581639973211095,1.3066610329810355,1.3113960005507397,0.8628638583907304,3.508225425752229,2.906995102255198,3.087343186094833,0.36872178722084575,0.628135107273105,0.28760216530293475,1.550948621158168,1.1887377563997579,0.48419789644140837,0.37621184653324596,0.35374740435179775,0.2506519552382488,0.11376120177621214,0.09459356802293065,0.09028984663564416,1.0288482399238128,0.7407701588440831,0.6118106612627962,0.5819361063431862,0.4989277492169531,0.5646041182270274,0.1460985213933227,0.21160091184276736,0.21082647531876408
