base,city_style,city,generated_image,predicted_values,target_path,ground_truth,prompt,clip_score,ranking
44_13_r0_d1,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/44_13_r0_d1___Chicago____2.png,"[56.21733093261719, 878.6881713867188, 230.3123016357422]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/44_13_r0_d1_cv.jpg,"[45.1, 485.1, 332.1]",Satellite imagery of Chicago. The total built-up surface area is 45.1 thousand square meters. The total built-up volume is 485.1 thousand cubic meters. The population in this area is about 332.1.,18.120317459106445,top5
56_28_r0_d1,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/56_28_r0_d1___Chicago____0.png,"[83.77264404296875, 1217.90234375, 137.19886779785156]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/56_28_r0_d1_cv.jpg,"[97.1, 1244.2, 74.3]",Satellite imagery of Chicago. The total built-up surface area is 97.1 thousand square meters. The total built-up volume is 1244.2 thousand cubic meters. The population in this area is about 74.3.,18.080476760864258,top5
62_61_r0_d1,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/62_61_r0_d1___Chicago____1.png,"[49.84191131591797, 673.6088256835938, 815.5166625976562]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/62_61_r0_d1_cv.jpg,"[44.0, 405.5, 1263.5]",Satellite imagery of Chicago. The total built-up surface area is 44.0 thousand square meters. The total built-up volume is 405.5 thousand cubic meters. The population in this area is about 1263.5.,17.901613235473633,top5
34_45_r0_d0,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/34_45_r0_d0___Chicago____2.png,"[73.14602661132812, 1046.813232421875, 149.8116912841797]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d0_cv/34_45_r0_d0_cv.jpg,"[50.9, 450.3, 442.2]",Satellite imagery of Chicago. The total built-up surface area is 50.9 thousand square meters. The total built-up volume is 450.3 thousand cubic meters. The population in this area is about 442.2.,17.772594451904297,top5
79_28_r0_d0,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/79_28_r0_d0___Chicago____2.png,"[5.055917263031006, 24.641218185424805, 20.990182876586914]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d0_cv/79_28_r0_d0_cv.jpg,"[0.4, 1.4, 0.0]",Satellite imagery of Chicago. The total built-up surface area is 0.4 thousand square meters. The total built-up volume is 1.4 thousand cubic meters. The population in this area is about 0.0.,17.770811080932617,top5
5_43_r0_d1,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/5_43_r0_d1___Chicago____2.png,"[62.235435485839844, 718.3855590820312, 863.759765625]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/5_43_r0_d1_cv.jpg,"[48.5, 339.5, 436.4]",Satellite imagery of Chicago. The total built-up surface area is 48.5 thousand square meters. The total built-up volume is 339.5 thousand cubic meters. The population in this area is about 436.4.,16.74436378479004,bottom5
44_13_r0_d1,_munich,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/44_13_r0_d1___Munich____0.png,"[50.262611389160156, 644.519775390625, 2083.564697265625]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/44_13_r0_d1_cv.jpg,"[45.1, 485.1, 332.1]",Satellite imagery of Chicago. The total built-up surface area is 45.1 thousand square meters. The total built-up volume is 485.1 thousand cubic meters. The population in this area is about 332.1.,16.716218948364258,bottom5
41_13_r0_d0,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/41_13_r0_d0___Chicago____2.png,"[5.814523220062256, 46.91112518310547, 26.406625747680664]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d0_cv/41_13_r0_d0_cv.jpg,"[1.1, 7.4, 0.0]",Satellite imagery of Chicago. The total built-up surface area is 1.1 thousand square meters. The total built-up volume is 7.4 thousand cubic meters. The population in this area is about 0.0.,16.626916885375977,bottom5
53_8_r0_d1,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/53_8_r0_d1___Chicago____1.png,"[25.20484161376953, 293.96875, 198.25604248046875]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d1_cv/53_8_r0_d1_cv.jpg,"[16.8, 118.0, 152.5]",Satellite imagery of Chicago. The total built-up surface area is 16.8 thousand square meters. The total built-up volume is 118.0 thousand cubic meters. The population in this area is about 152.5.,16.51300811767578,bottom5
41_13_r0_d0,_chicago,chicago,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/41_13_r0_d0___Chicago____1.png,"[3.019802570343017, 22.028596878051758, 24.43690299987793]",./urban_data/tencities/GenAI_density/Chicago/satellite_images_z17/r0_d0_cv/41_13_r0_d0_cv.jpg,"[1.1, 7.4, 0.0]",Satellite imagery of Chicago. The total built-up surface area is 1.1 thousand square meters. The total built-up volume is 7.4 thousand cubic meters. The population in this area is about 0.0.,16.28074836730957,bottom5
30_41_r0_d2,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/30_41_r0_d2___HongKong____0.png,"[59.15694046020508, 1751.908935546875, 15575.646484375]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d2_cv/30_41_r0_d2_cv.jpg,"[52.5, 1997.8, 13131.2]",Satellite imagery of HongKong. The total built-up surface area is 52.5 thousand square meters. The total built-up volume is 1997.8 thousand cubic meters. The population in this area is about 13131.2.,17.890522003173828,top5
24_36_r1_d2,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/24_36_r1_d2___HongKong____1.png,"[60.62260818481445, 1929.9429931640625, 15283.095703125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r1_d2_cv/24_36_r1_d2_cv.jpg,"[59.6, 2348.6, 17193.6]",Satellite imagery of HongKong. The total built-up surface area is 59.6 thousand square meters. The total built-up volume is 2348.6 thousand cubic meters. The population in this area is about 17193.6.,17.873146057128906,top5
13_42_r0_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/13_42_r0_d1___HongKong____1.png,"[0.136454537510871, 1.4983072280883791, 5.974884510040283]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d1_cv/13_42_r0_d1_cv.jpg,"[0.0, 0.0, 0.1]",Satellite imagery of HongKong. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.1.,17.839874267578125,top5
13_42_r0_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/13_42_r0_d1___HongKong____2.png,"[0.662732481956481, 6.86353874206543, 45.17680358886719]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d1_cv/13_42_r0_d1_cv.jpg,"[0.0, 0.0, 0.1]",Satellite imagery of HongKong. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.1.,17.822240829467773,top5
13_42_r0_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/13_42_r0_d1___HongKong____0.png,"[0.17542551457881903, 2.118736982345581, 8.759968757629395]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d1_cv/13_42_r0_d1_cv.jpg,"[0.0, 0.0, 0.1]",Satellite imagery of HongKong. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.1.,17.814830780029297,top5
28_43_r1_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/28_43_r1_d1___HongKong____2.png,"[46.17386245727539, 1353.0501708984375, 7833.94970703125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r1_d1_cv/28_43_r1_d1_cv.jpg,"[43.5, 1307.1, 12272.9]",Satellite imagery of HongKong. The total built-up surface area is 43.5 thousand square meters. The total built-up volume is 1307.1 thousand cubic meters. The population in this area is about 12272.9.,17.028493881225586,bottom5
28_55_r0_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/28_55_r0_d1___HongKong____2.png,"[12.041696548461914, 155.78225708007812, 1461.766845703125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d1_cv/28_55_r0_d1_cv.jpg,"[3.3, 13.6, 44.4]",Satellite imagery of HongKong. The total built-up surface area is 3.3 thousand square meters. The total built-up volume is 13.6 thousand cubic meters. The population in this area is about 44.4.,16.963329315185547,bottom5
28_55_r0_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/28_55_r0_d1___HongKong____0.png,"[6.448417663574219, 95.23439025878906, 1145.55078125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d1_cv/28_55_r0_d1_cv.jpg,"[3.3, 13.6, 44.4]",Satellite imagery of HongKong. The total built-up surface area is 3.3 thousand square meters. The total built-up volume is 13.6 thousand cubic meters. The population in this area is about 44.4.,16.921855926513672,bottom5
30_45_r0_d0,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/30_45_r0_d0___HongKong____1.png,"[19.50432586669922, 356.0220031738281, 5521.72705078125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r0_d0_cv/30_45_r0_d0_cv.jpg,"[12.4, 193.3, 3013.0]",Satellite imagery of HongKong. The total built-up surface area is 12.4 thousand square meters. The total built-up volume is 193.3 thousand cubic meters. The population in this area is about 3013.0.,16.77876091003418,bottom5
31_32_r1_d1,_hongkong,hongkong,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/31_32_r1_d1___HongKong____1.png,"[11.255038261413574, 263.23883056640625, 3068.50439453125]",./urban_data/tencities/GenAI_density/HongKong/satellite_images_z17/r1_d1_cv/31_32_r1_d1_cv.jpg,"[12.3, 204.1, 2982.4]",Satellite imagery of HongKong. The total built-up surface area is 12.3 thousand square meters. The total built-up volume is 204.1 thousand cubic meters. The population in this area is about 2982.4.,16.642982482910156,bottom5
28_18_r1_d2,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/28_18_r1_d2___Kigali____0.png,"[64.49893951416016, 602.6529541015625, 1465.2974853515625]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d2_cv/28_18_r1_d2_cv.jpg,"[63.3, 684.0, 2361.1]",Satellite imagery of Kigali. The total built-up surface area is 63.3 thousand square meters. The total built-up volume is 684.0 thousand cubic meters. The population in this area is about 2361.1.,16.7045955657959,top5
40_19_r1_d0,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/40_19_r1_d0___Kigali____0.png,"[6.6927762031555185, 23.75701332092285, 67.33114624023438]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d0_cv/40_19_r1_d0_cv.jpg,"[6.4, 22.0, 94.2]",Satellite imagery of Kigali. The total built-up surface area is 6.4 thousand square meters. The total built-up volume is 22.0 thousand cubic meters. The population in this area is about 94.2.,16.687204360961914,top5
