base,city,img1_2SSIM,img1_2MS_SSIM,img1_2LPIPS,img2_3SSIM,img2_3MS_SSIM,img2_3LPIPS,img1_3SSIM,img1_3MS_SSIM,img1_3LPIPS,mean_SSIM,mean_MS_SSIM,mean_LPIPS
14_16_r0_d0,Stockholm,0.11684993654489517,0.14668793976306915,0.3553641140460968,0.11715976148843765,0.09256049245595932,0.4001808166503906,0.09252354502677917,0.0,0.3631322383880615,0.10884441435337067,0.07974947740634282,0.37289238969484967
56_10_r1_d0,Stockholm,0.18024276196956635,0.399837464094162,0.3399735987186432,0.13873717188835144,0.33611640334129333,0.37657421827316284,0.11770732700824738,0.30168476700782776,0.4065016210079193,0.1455624202887217,0.3458795448144277,0.37434981266657513
27_6_r0_d1,Munich,0.2512144446372986,0.313109815120697,0.39893990755081177,0.1691979169845581,0.09648779034614563,0.4777278006076813,0.1400328427553177,0.041396018117666245,0.4788297414779663,0.1868150681257248,0.15033120786150297,0.45183248321215314
5_29_r1_d2,HongKong,0.07338665425777435,0.34629520773887634,0.31560254096984863,0.054693788290023804,0.2499198317527771,0.3244052827358246,0.05560184642672539,0.25684016942977905,0.37570518255233765,0.061227429658174515,0.28435173630714417,0.3385710020860036
68_51_r0_d0,SaoPaulo,0.023597819730639458,0.0,0.33693742752075195,0.029069608077406883,0.057314515113830566,0.3698473274707794,0.03377966955304146,0.04331547021865845,0.3224976658821106,0.0288156991203626,0.033543328444163,0.343094140291214
27_35_r1_d2,Kigali,0.08362208306789398,0.07757123559713364,0.3042975068092346,0.09401719272136688,0.08885540813207626,0.31802237033843994,0.08468670397996902,0.06970155239105225,0.3354303240776062,0.08744199325640996,0.07870939870675404,0.31925006707509357
79_28_r0_d0,Chicago,0.31233951449394226,0.38603606820106506,0.2687360644340515,0.20452985167503357,0.03919050469994545,0.5037290453910828,0.25639811158180237,0.0,0.48359066247940063,0.2577558259169261,0.1417421909670035,0.41868525743484497
46_12_r0_d0,Munich,0.20060765743255615,0.20544855296611786,0.44186872243881226,0.11050856113433838,0.0,0.5448561906814575,0.10097111016511917,0.0,0.5493650436401367,0.13736244291067123,0.06848285098870595,0.5120299855868021
54_3_r0_d1,SaoPaulo,0.12309468537569046,0.12764881551265717,0.365298867225647,0.044769175350666046,0.07673922181129456,0.36432164907455444,0.033237483352422714,0.029239220544695854,0.42176198959350586,0.06703378135959308,0.07787575262288253,0.3837941686312358
7_32_r0_d1,SaoPaulo,0.065803661942482,0.16558410227298737,0.40016138553619385,0.04642321169376373,0.07784558087587357,0.44883590936660767,0.046888794749975204,0.09972961992025375,0.44529277086257935,0.05303855612874031,0.11438643435637157,0.43143002192179364
