Category,Metrics,over-all,Chicago,HongKong,Kigali,Kinshasa,Mexico,Munich,Orlando,SaoPaulo,Singapore,Stockholm
L2,N,299.0,28.0,26.0,28.0,35.0,31.0,22.0,43.0,30.0,29.0,27.0
L2,mean,107.66586955816054,128.59214473035715,110.17867412115385,80.31028629357142,74.15077494542857,117.3417911364516,102.28174498227273,97.65459359395348,144.07518954666665,130.93912505103447,99.12861210074072
L2,max,113.93028423802674,137.28883825357144,114.75133381807693,82.45491041357143,78.23801476685713,121.97012895258065,106.90488641727273,111.30113788674417,148.16138865000002,138.29562272241378,104.30072896629629
L2,up25per,110.35164372354515,131.79458277321427,112.88729697115386,81.47383798714284,76.62374869714286,119.49480856774193,104.37477892636362,102.31284660837207,146.07280858666664,134.3064005662069,101.09697356444443
PSNR,N,299.0,28.0,26.0,28.0,35.0,31.0,22.0,43.0,30.0,29.0,27.0
PSNR,mean,11.353975123829432,9.632400269035713,11.202151054923077,13.7850468275,14.487921777742855,10.399688197935484,11.58203682731818,11.877629619860466,8.620495446433333,9.502626851827586,11.803429392074076
PSNR,max,11.831617468464882,10.11496666442857,11.683434596076923,14.061836685000003,15.055597796314286,10.709557594903227,11.976225810227271,12.75564901162791,8.860099077300001,9.958567553586207,12.274826473259257
PSNR,up25per,11.62040506486622,9.963503608428569,11.408916125230771,13.91083341,14.6999359682,10.57413581083871,11.795640511545455,12.479002830720933,8.7410245497,9.748110738034482,12.076471434481482
SSIM,N,299.0,28.0,26.0,28.0,35.0,31.0,22.0,43.0,30.0,29.0,27.0
SSIM,mean,0.11421771081605353,0.08312618667857141,0.09487667715384616,0.14961634421428568,0.16600217779999998,0.05684389916129032,0.13309016913636368,0.17928342202325584,0.032415729233333336,0.09248731296551725,0.12235182018518519
SSIM,max,0.12897036820735786,0.09707786721428571,0.1058752333076923,0.15984343642857146,0.19097440622857143,0.06657292964516129,0.1502616533181818,0.1997048545813953,0.0364653493,0.11073299086206898,0.13590519092592593
SSIM,up25per,0.12168411118060202,0.09062186674999999,0.10105439984615386,0.15476136239285715,0.17503146328571426,0.06157858306451613,0.1423982069090909,0.19260710960465116,0.0345085447,0.10046869931034481,0.1291352687037037
LPIPS,N,299.0,28.0,26.0,28.0,35.0,31.0,22.0,43.0,30.0,29.0,27.0
LPIPS,mean,0.46270028711371236,0.46656292325000004,0.5191678324615384,0.43493881114285715,0.4260707071428571,0.43788052574193553,0.4812981910000001,0.44569923641860465,0.47055902740000005,0.521169037862069,0.44947786311111115
LPIPS,max,0.4867767539264214,0.4943093338571428,0.5461322401538461,0.4477530037857143,0.4511995085714286,0.4531717752258065,0.5028777298181818,0.4907714121860465,0.48819689736666666,0.5424443935517241,0.46612899185185175
LPIPS,up25per,0.47419174118394647,0.4797884986071428,0.5328622798461539,0.4403956228214287,0.4405841763714286,0.4455007896451613,0.49241545872727266,0.4634391252790698,0.47889076063333336,0.5320851541034483,0.45831742662962954
