base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
14_16_r0_d0,Stockholm,88.59274292,89.2419281,89.03472137,88.95646413,89.2419281,89.13832474,12.79407978,12.7306633,12.78498363,12.76990891,12.79407978,12.78953171,0.104847021,0.120536961,0.113728493,0.113037492,0.120536961,0.117132727,0.447939754,0.475746006,0.457841188,0.460508982,0.475746006,0.466793597
56_10_r1_d0,Stockholm,95.29945374,100.6706924,102.8523026,99.60748291,102.8523026,101.7614975,12.12597179,11.6839819,11.53189182,11.78061517,12.12597179,11.90497684,0.141700178,0.121872507,0.089320786,0.117631157,0.141700178,0.131786343,0.379961133,0.38857466,0.446763158,0.40509965,0.446763158,0.417668909
68_51_r0_d0,SaoPaulo,132.2887268,132.3250885,132.2769012,132.2969055,132.3250885,132.3069077,9.345715523,9.343327522,9.346491814,9.345178286,9.346491814,9.346103668,0.032719541,0.038309641,0.031891827,0.034307003,0.038309641,0.035514591,0.430134773,0.450270325,0.391623765,0.424009621,0.450270325,0.440202549
27_6_r0_d1,Munich,85.36222839,89.49692535,90.40625763,88.42180379,90.40625763,89.95159149,13.11672783,12.70588112,12.65220261,12.82493718,13.11672783,12.91130447,0.187090322,0.177766457,0.155908644,0.173588475,0.187090322,0.18242839,0.426822782,0.42082566,0.462208241,0.436618894,0.462208241,0.444515511
5_29_r1_d2,HongKong,124.5898895,124.146492,130.1240234,126.2868017,130.1240234,127.3569565,9.866516113,9.897483826,9.489023209,9.751007716,9.897483826,9.881999969,0.050196614,0.056720331,0.053624731,0.053513892,0.056720331,0.055172531,0.638997436,0.692577362,0.655059218,0.662211339,0.692577362,0.67381829
40_19_r1_d0,Kigali,55.09814453,55.75533676,56.69752121,55.85033417,56.69752121,56.22642899,16.95343399,16.85044289,16.7048912,16.83625603,16.95343399,16.90193844,0.297935784,0.34451887,0.321203113,0.321219256,0.34451887,0.332860991,0.495244861,0.4642874,0.464502484,0.474678248,0.495244861,0.479873672
46_12_r0_d0,Munich,101.3354492,100.8171997,96.51322937,99.55529277,101.3354492,101.0763245,11.62681484,11.70547962,12.08443642,11.80557696,12.08443642,11.89495802,0.10982921,0.113846809,0.129694521,0.11779018,0.129694521,0.121770665,0.494371116,0.490865707,0.448774219,0.478003681,0.494371116,0.492618412
79_28_r0_d0,Chicago,54.10192871,56.80700684,125.4384308,78.78245544,125.4384308,91.12271881,16.97458839,16.55080414,9.353063583,14.29281871,16.97458839,16.76269627,0.31300509,0.269809961,0.248594478,0.27713651,0.31300509,0.291407526,0.339160591,0.338533163,0.500096738,0.392596831,0.500096738,0.419628665
7_32_r0_d1,SaoPaulo,146.9526367,151.5951996,165.8507996,154.7995453,165.8507996,158.7229996,8.432624817,8.162464142,7.381821156,7.992303371,8.432624817,8.297544479,0.038838774,0.019923316,0.038658503,0.032473531,0.038838774,0.038748639,0.50469631,0.512931585,0.520180523,0.512602806,0.520180523,0.516556054
54_3_r0_d1,SaoPaulo,139.18927,138.2422638,142.0639038,139.8318125,142.0639038,140.6265869,8.904057503,8.963356018,8.72649765,8.864637057,8.963356018,8.93370676,0.049196966,0.067733549,0.062763698,0.059898071,0.067733549,0.065248623,0.468828648,0.429850489,0.437382609,0.445353915,0.468828648,0.453105628
10_47_r1_d1,Singapore,123.4582291,123.9290314,122.3681183,123.2517929,123.9290314,123.6936302,9.945771217,9.912712097,10.02280712,9.960430145,10.02280712,9.984289169,0.104654595,0.09528365,0.082575612,0.094171286,0.104654595,0.099969123,0.549042463,0.5394032,0.505267739,0.531237801,0.549042463,0.544222832
38_46_r0_d1,SaoPaulo,141.4330597,140.0002289,141.593277,141.0088552,141.593277,141.5131683,8.765152931,8.853598595,8.755319595,8.79135704,8.853598595,8.809375763,0.020327423,0.030823613,0.0218825,0.024344512,0.030823613,0.026353057,0.450255036,0.481266499,0.476848781,0.469456772,0.481266499,0.47905764
56_38_r0_d1,Mexico,114.2367554,115.4333115,118.0547104,115.9082591,118.0547104,116.7440109,10.62005424,10.52954865,10.33450603,10.49470297,10.62005424,10.57480145,0.057655063,0.055952843,0.055366054,0.056324653,0.057655063,0.056803953,0.393612951,0.419757813,0.450702161,0.421357642,0.450702161,0.435229987
94_26_r1_d0,Orlando,97.99777222,100.5664063,129.4810944,109.3484243,129.4810944,115.0237503,11.81451893,11.45024872,9.429251671,10.89800644,11.81451893,11.63238382,0.10686288,0.115113184,0.099868625,0.107281563,0.115113184,0.110988032,0.441683769,0.529087842,0.544081867,0.504951159,0.544081867,0.536584854
106_24_r1_d0,Orlando,94.66293335,96.16810608,108.6787949,99.83661143,108.6787949,102.4234505,11.90509224,12.01275826,10.98488426,11.63424492,12.01275826,11.95892525,0.068961576,0.071701981,0.072988272,0.071217276,0.072988272,0.072345126,0.39170444,0.440058589,0.452869296,0.428210775,0.452869296,0.446463943
46_20_r2_d1,Kigali,51.88220596,53.81558609,53.7105751,53.13612239,53.81558609,53.7630806,17.47580528,17.12388039,17.17497635,17.25822067,17.47580528,17.32539082,0.283101231,0.291491628,0.278541714,0.284378191,0.291491628,0.287296429,0.485120386,0.455645174,0.472493678,0.471086413,0.485120386,0.478807032
18_42_r0_d0,SaoPaulo,150.9223785,155.2369232,163.3707733,156.510025,163.3707733,159.3038483,8.201099396,7.956272125,7.512684822,7.890018781,8.201099396,8.07868576,0.036654871,0.025623176,0.035392273,0.032556773,0.036654871,0.036023572,0.479338437,0.510576129,0.49340713,0.494440566,0.510576129,0.50199163
61_58_r0_d1,Mexico,107.249115,109.4371414,106.8715515,107.8526026,109.4371414,108.3431282,11.16829777,10.99287796,11.19892979,11.12003517,11.19892979,11.18361378,0.052180041,0.035710011,0.031154461,0.039681504,0.052180041,0.043945026,0.316526175,0.338723391,0.358724505,0.337991357,0.358724505,0.348723948
37_13_r0_d0,Kinshasa,54.30866623,51.49092484,52.24370956,52.68110021,54.30866623,53.2761879,17.07878876,17.26469231,16.92502975,17.08950361,17.26469231,17.17174053,0.18882668,0.20666641,0.205543667,0.200345586,0.20666641,0.206105039,0.403404087,0.377309263,0.404386997,0.395033449,0.404386997,0.403895542
39_15_r2_d1,Kigali,73.57039642,70.27214813,63.83838272,69.22697576,73.57039642,71.92127228,13.39347649,14.45750141,15.6745348,14.50850423,15.6745348,15.0660181,0.238464534,0.299525708,0.29922989,0.279073377,0.299525708,0.299377799,0.403027982,0.361658126,0.383290231,0.38265878,0.403027982,0.393159106
19_35_r0_d0,HongKong,135.3118286,146.833847,137.617569,139.9210815,146.833847,142.225708,9.149456978,8.439648628,9.002695084,8.863933563,9.149456978,9.076076031,0.052999385,0.0333375,0.051411491,0.045916125,0.052999385,0.052205438,0.468615979,0.499770373,0.505933642,0.491439998,0.505933642,0.502852008
20_63_r0_d0,Chicago,150.0137329,128.0504456,131.6493378,136.5711721,150.0137329,140.8315353,8.21942234,9.52575779,9.319405556,9.021528562,9.52575779,9.422581673,0.004656699,0.051962078,0.073188625,0.043269134,0.073188625,0.062575351,0.429477215,0.382039189,0.327448845,0.379655083,0.429477215,0.405758202
38_50_r0_d1,Kinshasa,82.42875671,81.7146759,84.53941345,82.89428202,84.53941345,83.48408508,13.45459843,13.53017139,13.23498726,13.40658569,13.53017139,13.49238491,0.093115836,0.093455739,0.067715108,0.084762228,0.093455739,0.093285788,0.373406589,0.371125579,0.365935415,0.370155861,0.373406589,0.372266084
10_14_r1_d0,Kinshasa,53.50534439,26.99631691,51.69391251,44.06519127,53.50534439,52.59962845,16.71776581,20.63994598,17.50738335,18.28836505,20.63994598,19.07366467,0.348103285,0.429812878,0.38462615,0.387514104,0.429812878,0.407219514,0.446187556,0.285861015,0.459322035,0.397123535,0.459322035,0.452754796
1_6_r0_d0,Mexico,123.4002991,127.4271622,134.9685974,128.5986862,134.9685974,131.1978798,9.949848175,9.670931816,9.171518326,9.597432772,9.949848175,9.810389996,0.024668606,0.05164903,0.022639282,0.032985639,0.05164903,0.038158818,0.469282538,0.467536718,0.45684731,0.464555522,0.469282538,0.468409628
55_34_r0_d1,Chicago,130.5023193,114.8540192,112.5454941,119.3006109,130.5023193,122.6781693,9.395415306,10.57324886,10.74960995,10.23942471,10.74960995,10.66142941,0.13362664,0.154668644,0.166327938,0.151541074,0.166327938,0.160498291,0.557106376,0.452110082,0.543363154,0.517526537,0.557106376,0.550234765
14_32_r0_d0,Singapore,120.193573,121.2195969,121.7732697,121.0621465,121.7732697,121.4964333,10.17854786,10.10471535,10.06513309,10.1161321,10.17854786,10.1416316,0.033753421,0.050179869,0.044648334,0.042860541,0.050179869,0.047414102,0.546641827,0.530816376,0.545373619,0.54094394,0.546641827,0.546007723
22_35_r1_d1,Stockholm,113.9189072,122.6951904,123.7647705,120.1262894,123.7647705,123.2299805,10.47225285,9.965492249,9.890102386,10.10928249,10.47225285,10.21887255,0.041170917,0.048261207,0.05118316,0.046871761,0.05118316,0.049722183,0.37283951,0.332889378,0.375979692,0.360569527,0.375979692,0.374409601
30_45_r0_d0,HongKong,91.78050232,109.5641327,105.2518768,102.1988373,109.5641327,107.4080048,12.52116489,10.98280525,11.33157444,11.6118482,12.52116489,11.92636967,0.129914239,0.124003872,0.152512372,0.135476828,0.152512372,0.141213305,0.585985899,0.608820736,0.565032482,0.586613039,0.608820736,0.597403318
27_63_r1_d1,Stockholm,66.18894958,66.77401733,79.68152618,70.8814977,79.68152618,73.22777176,15.04836082,15.14669323,13.36601353,14.52035586,15.14669323,15.09752703,0.19507578,0.170776755,0.176880524,0.180911019,0.19507578,0.185978152,0.448384166,0.430193156,0.48960048,0.456059267,0.48960048,0.468992323
51_39_r0_d1,Orlando,101.3643799,103.4492264,101.4070358,102.0735474,103.4492264,102.4281311,11.55567169,11.37883472,11.55201817,11.49550819,11.55567169,11.55384493,0.083092235,0.07567808,0.08600805,0.081592788,0.08600805,0.084550142,0.420952171,0.427754015,0.45987469,0.436193625,0.45987469,0.443814352
5_30_r0_d0,Kigali,60.54214096,60.73476028,59.33112335,60.20267487,60.73476028,60.63845062,16.13501549,16.10742569,16.31052208,16.18432109,16.31052208,16.22276878,0.282153368,0.257921278,0.269556791,0.269877146,0.282153368,0.275855079,0.462387115,0.476504147,0.480966568,0.473285943,0.480966568,0.478735358
84_51_r0_d1,Orlando,79.46014404,85.52758789,110.9500122,91.97924805,110.9500122,98.23880005,13.35450649,12.92723179,10.77083206,12.35085678,13.35450649,13.14086914,0.219757736,0.248260707,0.263287038,0.243768493,0.263287038,0.255773872,0.421398461,0.489454031,0.417294592,0.442715695,0.489454031,0.455426246
18_47_r0_d1,Kinshasa,76.11705017,68.76222229,74.95748901,73.27892049,76.11705017,75.53726959,14.07814026,15.0291729,14.21147823,14.43959713,15.0291729,14.62032557,0.145627886,0.139020383,0.148955479,0.144534583,0.148955479,0.147291683,0.404561877,0.336605489,0.392414987,0.377860785,0.404561877,0.398488432
9_52_r0_d1,SaoPaulo,133.3083344,143.9038391,144.2033386,140.4718374,144.2033386,144.0535889,9.279026985,8.614724159,8.596666336,8.83013916,9.279026985,8.946875572,0.034300245,0.034597382,0.033964779,0.034287469,0.034597382,0.034448814,0.421024919,0.476062834,0.446531653,0.447873135,0.476062834,0.461297244
25_24_r2_d2,HongKong,109.8675308,100.8104248,121.3680878,110.6820145,121.3680878,115.6178093,10.95878506,11.70606422,10.09408283,10.91964404,11.70606422,11.33242464,0.103399098,0.125759587,0.069625624,0.099594769,0.125759587,0.114579342,0.576222122,0.511358082,0.549771369,0.545783858,0.576222122,0.562996745
21_55_r2_d2,HongKong,135.7736816,144.7531128,145.4337463,141.9868469,145.4337463,145.0934296,9.119860649,8.563613892,8.52286911,8.735447884,9.119860649,8.84173727,0.046086397,0.043762822,0.042945698,0.044264972,0.046086397,0.044924609,0.495484054,0.503375173,0.486235887,0.495031705,0.503375173,0.499429613
39_40_r1_d0,Singapore,111.0141525,94.74884033,135.9697876,113.9109268,135.9697876,123.4919701,10.86860561,12.14190102,9.1073246,10.70594374,12.14190102,11.50525331,0.213899568,0.281915843,0.19650048,0.230771964,0.281915843,0.247907706,0.620781422,0.592016935,0.674508452,0.62910227,0.674508452,0.647644937
24_51_r2_d1,Kigali,66.27680206,68.69430542,61.10534668,65.35881805,68.69430542,67.48555374,15.3489418,15.03775787,16.05458832,15.48042933,16.05458832,15.70176506,0.216767937,0.215603918,0.236904994,0.223092283,0.236904994,0.226836465,0.433696628,0.454100966,0.402540088,0.430112561,0.454100966,0.443898797
